Enrollment_No,Subject_Code,Semester,status,course_id,program_id,Detaintion
0801CE221083,CE21502,4,Regular,30509,24,
0801CE221085,CE21502,4,Regular,30509,24,
0801CE221086,CE21502,4,Regular,30509,24,
0801CE221090,CE21502,4,Regular,30509,24,
0801CE221091,CE21502,4,Regular,30509,24,
0801CE221093,CE21502,4,Regular,30509,24,
0801CE221094,CE21502,4,Regular,30509,24,
0801CE221097,CE21502,4,Regular,30509,24,
0801CE221099,CE21502,4,Regular,30509,24,
0801CE221100,CE21502,4,Regular,30509,24,
0801CE221101,CE21502,4,Regular,30509,24,
0801CE221102,CE21502,4,Regular,30509,24,
0801CE221103,CE21502,4,Regular,30509,24,
0801CE221104,CE21502,4,Regular,30509,24,
0801CE221107,CE21502,4,Regular,30509,24,
0801CE221108,CE21502,4,Regular,30509,24,
0801CE221109,CE21502,4,Regular,30509,24,
0801CE221111,CE21502,4,Regular,30509,24,
0801CE221112,CE21502,4,Regular,30509,24,
0801CE221113,CE21502,4,Regular,30509,24,
0801CE221114,CE21502,4,Regular,30509,24,
0801CE221115,CE21502,4,Regular,30509,24,
0801CE221116,CE21502,4,Regular,30509,24,
0801CE221117,CE21502,4,Regular,30509,24,
0801CE221118,CE21502,4,Regular,30509,24,
0801CE221119,CE21502,4,Regular,30509,24,
0801CE233D01,CE21502,4,Regular,30509,24,
0801CE233D02,CE21502,4,Regular,30509,24,
0801CE233D03,CE21502,4,Regular,30509,24,
0801CE233D04,CE21502,4,Regular,30509,24,
0801CE233D06,CE21502,4,Regular,30509,24,
0801CE233D07,CE21502,4,Regular,30509,24,
0801CE233D08,CE21502,4,Regular,30509,24,
0801EE221020,CE21502,4,Regular,30509,24,
0801EE221080,CE21502,4,Regular,30509,24,
0801IP221004,CE21502,4,Regular,30509,24,
0801IP221006,CE21502,4,Regular,30509,24,
0801IP221032,CE21502,4,Regular,30509,24,
0801IP221060,CE21502,4,Regular,30509,24,
0801IP221075,CE21502,4,Regular,30509,24,
0801IP221077,CE21502,4,Regular,30509,24,
0801IP221083,CE21502,4,Regular,30509,24,D
0801IP221094,CE21502,4,Regular,30509,24,
0801IT221106,CE21502,4,Regular,30509,24,
0801CE181115,CE21504,4,Ex,30509,24,
0801CE211010,CE21504,4,Ex,30509,24,
0801CE211055,CE21504,4,Ex,30509,24,
0801CE211060,CE21504,4,Ex,30509,24,
0801CE211068,CE21504,4,Regular,30509,24,
0801CE211069,CE21504,4,Ex,30509,24,
0801CE211094,CE21504,4,Ex,30509,24,
0801CE221001,CE21504,4,Regular,30509,24,
0801CE221002,CE21504,4,Regular,30509,24,
0801CE221003,CE21504,4,Regular,30509,24,
0801CE221005,CE21504,4,Regular,30509,24,
0801CE221006,CE21504,4,Regular,30509,24,
0801CE221007,CE21504,4,Regular,30509,24,
0801CE221008,CE21504,4,Regular,30509,24,
0801CE221009,CE21504,4,Regular,30509,24,
0801CE221012,CE21504,4,Regular,30509,24,
0801CE221013,CE21504,4,Regular,30509,24,D
0801CE221014,CE21504,4,Regular,30509,24,
0801CE221017,CE21504,4,Regular,30509,24,
0801CE221019,CE21504,4,Regular,30509,24,
0801CE221021,CE21504,4,Regular,30509,24,
0801CE221022,CE21504,4,Regular,30509,24,
0801CE221023,CE21504,4,Regular,30509,24,
0801CE221025,CE21504,4,Regular,30509,24,
0801CE221026,CE21504,4,Regular,30509,24,
0801CE221028,CE21504,4,Regular,30509,24,D
0801CE221029,CE21504,4,Regular,30509,24,
0801CE221030,CE21504,4,Regular,30509,24,
0801CE221031,CE21504,4,Regular,30509,24,
0801CE221033,CE21504,4,Regular,30509,24,
0801CE221034,CE21504,4,Regular,30509,24,
0801CE221035,CE21504,4,Regular,30509,24,
0801CE221036,CE21504,4,Regular,30509,24,
0801CE221038,CE21504,4,Regular,30509,24,
0801CE221040,CE21504,4,Regular,30509,24,
0801CE221041,CE21504,4,Regular,30509,24,
0801CE221042,CE21504,4,Regular,30509,24,
0801CE221043,CE21504,4,Regular,30509,24,
0801CE221044,CE21504,4,Regular,30509,24,
0801CE221045,CE21504,4,Regular,30509,24,
0801CE221046,CE21504,4,Regular,30509,24,
0801CE221047,CE21504,4,Regular,30509,24,
0801CE221048,CE21504,4,Regular,30509,24,
0801CE221049,CE21504,4,Regular,30509,24,
0801CE221050,CE21504,4,Regular,30509,24,
0801CE221051,CE21504,4,Regular,30509,24,
0801CE221052,CE21504,4,Regular,30509,24,
0801CE221053,CE21504,4,Regular,30509,24,
0801CE221054,CE21504,4,Regular,30509,24,
0801CE221055,CE21504,4,Regular,30509,24,
0801CE221057,CE21504,4,Regular,30509,24,
0801CE221059,CE21504,4,Regular,30509,24,
0801CE221060,CE21504,4,Regular,30509,24,
0801CE221061,CE21504,4,Regular,30509,24,
0801CE221062,CE21504,4,Regular,30509,24,
0801CE221063,CE21504,4,Regular,30509,24,
0801CE221064,CE21504,4,Regular,30509,24,
0801CE221065,CE21504,4,Regular,30509,24,
0801CE221068,CE21504,4,Regular,30509,24,
0801CE221069,CE21504,4,Regular,30509,24,
0801CE221071,CE21504,4,Regular,30509,24,
0801CE221072,CE21504,4,Regular,30509,24,
0801CE221073,CE21504,4,Regular,30509,24,
0801CE221074,CE21504,4,Regular,30509,24,
0801CE221075,CE21504,4,Regular,30509,24,
0801CE221076,CE21504,4,Regular,30509,24,
0801CE221077,CE21504,4,Regular,30509,24,
0801CE221078,CE21504,4,Regular,30509,24,
0801CE221079,CE21504,4,Regular,30509,24,
0801CE221080,CE21504,4,Regular,30509,24,
0801CE221082,CE21504,4,Regular,30509,24,
0801CE221083,CE21504,4,Regular,30509,24,
0801CE221085,CE21504,4,Regular,30509,24,
0801CE221086,CE21504,4,Regular,30509,24,
0801CE221090,CE21504,4,Regular,30509,24,
0801CE221091,CE21504,4,Regular,30509,24,
0801CE221093,CE21504,4,Regular,30509,24,
0801CE221094,CE21504,4,Regular,30509,24,
0801CE221097,CE21504,4,Regular,30509,24,
0801CE221099,CE21504,4,Regular,30509,24,
0801CE221100,CE21504,4,Regular,30509,24,
0801CE221101,CE21504,4,Regular,30509,24,
0801CE221102,CE21504,4,Regular,30509,24,
0801CE221103,CE21504,4,Regular,30509,24,
0801CE221104,CE21504,4,Regular,30509,24,
0801CE221107,CE21504,4,Regular,30509,24,
0801CE221108,CE21504,4,Regular,30509,24,
0801CE221109,CE21504,4,Regular,30509,24,
0801CE221111,CE21504,4,Regular,30509,24,
0801CE221112,CE21504,4,Regular,30509,24,
0801CE221113,CE21504,4,Regular,30509,24,
0801CE221114,CE21504,4,Regular,30509,24,
0801CE221115,CE21504,4,Regular,30509,24,
0801CE221116,CE21504,4,Regular,30509,24,
0801CE221117,CE21504,4,Regular,30509,24,
0801CE221118,CE21504,4,Regular,30509,24,
0801CE221119,CE21504,4,Regular,30509,24,
0801CE233D01,CE21504,4,Regular,30509,24,
0801CE233D02,CE21504,4,Regular,30509,24,
0801CE233D03,CE21504,4,Regular,30509,24,
0801CE233D04,CE21504,4,Regular,30509,24,
0801CE233D06,CE21504,4,Regular,30509,24,
0801CE233D07,CE21504,4,Regular,30509,24,
0801CE233D08,CE21504,4,Regular,30509,24,
0801EE221020,CE21504,4,Regular,30509,24,
0801EE221080,CE21504,4,Regular,30509,24,
0801IP221004,CE21504,4,Regular,30509,24,
0801IP221006,CE21504,4,Regular,30509,24,
0801IP221032,CE21504,4,Regular,30509,24,
0801IP221060,CE21504,4,Regular,30509,24,
0801IP221075,CE21504,4,Regular,30509,24,
0801IP221077,CE21504,4,Regular,30509,24,
0801IP221083,CE21504,4,Regular,30509,24,D
0801IP221094,CE21504,4,Regular,30509,24,
0801IT221106,CE21504,4,Regular,30509,24,
0801CE181115,CE21508,4,Ex,30509,24,
0801CE201035,CE21508,4,Ex,30509,24,
0801CE211031,CE21508,4,Ex,30509,24,
0801CE211068,CE21508,4,Regular,30509,24,
0801CE221001,CE21508,4,Regular,30509,24,
0801CE221002,CE21508,4,Regular,30509,24,
0801CE221003,CE21508,4,Regular,30509,24,
0801CE221005,CE21508,4,Regular,30509,24,
0801CE221006,CE21508,4,Regular,30509,24,
0801CE221007,CE21508,4,Regular,30509,24,
0801CE221008,CE21508,4,Regular,30509,24,
0801CE221009,CE21508,4,Regular,30509,24,
0801CE221012,CE21508,4,Regular,30509,24,
0801CE221013,CE21508,4,Regular,30509,24,D
0801CE221014,CE21508,4,Regular,30509,24,
0801CE221017,CE21508,4,Regular,30509,24,
0801CE221019,CE21508,4,Regular,30509,24,
0801CE221021,CE21508,4,Regular,30509,24,
0801CE221022,CE21508,4,Regular,30509,24,
0801CE221023,CE21508,4,Regular,30509,24,
0801CE221025,CE21508,4,Regular,30509,24,
0801CE221026,CE21508,4,Regular,30509,24,
0801CE221028,CE21508,4,Regular,30509,24,D
0801CE221029,CE21508,4,Regular,30509,24,
0801CE221030,CE21508,4,Regular,30509,24,
0801CE221031,CE21508,4,Regular,30509,24,
0801CE221033,CE21508,4,Regular,30509,24,
0801CE221034,CE21508,4,Regular,30509,24,
0801CE221035,CE21508,4,Regular,30509,24,
0801CE221036,CE21508,4,Regular,30509,24,
0801CE221038,CE21508,4,Regular,30509,24,
0801CE221040,CE21508,4,Regular,30509,24,
0801CE221041,CE21508,4,Regular,30509,24,
0801CE221042,CE21508,4,Regular,30509,24,
0801CE221043,CE21508,4,Regular,30509,24,
0801CE221044,CE21508,4,Regular,30509,24,
0801CE221045,CE21508,4,Regular,30509,24,
